Score,Review_Count,Positive_Reviews,Days_Until_Release
0.0,9,0,16
0.9091,11,10,16
0.9167,12,11,16
0.9231,13,12,16
0.9286,14,13,16
0.9333,15,14,16
0.9375,16,15,16
0.8824,17,15,16
0.8889,18,16,16
0.8947,19,17,16
0.9,20,18,16
0.9048,21,19,16
0.9091,22,20,15
0.913,23,21,14
0.9167,24,22,13
0.8846,26,23,13
0.8889,27,24,12
0.8929,28,25,8
0.8966,29,26,8
0.9,30,27,7
0.9032,31,28,7
0.9062,32,29,6
0.9091,33,30,6
0.8824,34,30,6
0.8857,35,31,6
0.8889,36,32,6
0.8919,37,33,6
0.8947,38,34,6
0.8974,39,35,5
0.8781,41,36,5
0.881,42,37,3
0.8605,43,37,3
0.8636,44,38,3
0.8444,45,38,2
0.8478,46,39,2
0.8511,47,40,2
0.8542,48,41,2
0.8571,49,42,1
0.86,50,43,1
0.8628,51,44,1
0.8654,52,45,1
0.8679,53,46,1
0.8704,54,47,1
0.8727,55,48,1
0.875,56,49,1
0.8772,57,50,1
0.8814,59,52,1
0.8833,60,53,1
0.8548,62,53,1
0.8571,63,54,1
0.8594,64,55,0
0.8615,65,56,0
0.8485,66,56,0
0.8508,67,57,0
0.8382,68,57,0
0.8406,69,58,0
0.8429,70,59,0
0.831,71,59,0
0.8333,72,60,0
0.8378,74,62,0
0.84,75,63,0
0.8421,76,64,0
0.8375,80,67,0
0.8452,84,71,0
0.8488,86,73,0
0.8506,87,74,0
0.8409,88,74,0
0.8478,92,78,0
0.8495,93,79,0
0.8404,94,79,0
0.8438,96,81,-1
0.8454,97,82,-1
0.8469,98,83,-1
0.8485,99,84,-1
0.8529,102,87,-1
0.8544,103,88,-1
0.8476,105,89,-1
0.844,109,92,-1
0.8496,113,96,-1
0.8522,115,98,-1
0.8362,116,97,-1
0.8462,117,99,-1
0.8475,118,100,-1
0.843,121,102,-1
0.8361,122,102,-1
0.8306,124,103,-1
0.832,125,104,-1
0.8217,129,106,-2
0.8231,130,107,-2
0.8092,131,106,-2
